relative_path,git_status,extension,staged_size_bytes,category,security_status,large_file_status,submission_zip_status,note
docs/ko/project_journey_extraction_validation.md,A,.md,1400,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_journey_source_index.md,A,.md,3548,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_metric_evidence_summary.md,A,.md,1753,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_metric_evidence_summary_v2.md,A,.md,1917,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_metric_evidence_table.csv,A,.csv,4084,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_metric_evidence_table_v2.csv,A,.csv,6155,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_process_summary_draft.md,A,.md,2017,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/project_timeline_v2.md,A,.md,5452,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/public_private_boundary.md,A,.md,1706,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/public_security_allowlist.csv,A,.csv,3470,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/public_security_allowlist.md,A,.md,1298,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/reproducibility_scope_draft.md,A,.md,1228,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/reproducibility_scope_v2.md,A,.md,3986,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/submission_document_outline.md,A,.md,2860,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/submission_notes.md,A,.md,738,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/submission_zip_file_manifest_plan.md,A,.md,901,docs,allowlisted_public,ok,include,staged blob snapshot
docs/ko/submission_zip_policy.md,A,.md,996,docs,allowlisted_public,ok,include,staged blob snapshot
docs/public_release_audit_summary.md,A,.md,880,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_build_final_check.md,A,.md,662,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_cleanup_report_policy.md,A,.md,482,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_forbidden_file_scan.csv,A,.csv,20,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_git_pre_push_status.md,A,.md,797,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_hard_residual_scan.csv,A,.csv,18,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_large_file_scan.csv,A,.csv,34,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_large_forbidden_final_summary.md,A,.md,539,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_npm_audit_review.md,A,.md,570,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_pre_push_summary.md,A,.md,1349,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_readme_docs_final_check.md,A,.md,413,docs,allowlisted_public,ok,include,staged blob snapshot
docs/repo_cleanup_phase3_secret_final_summary.md,A,.md,581,docs,allowlisted_public,ok,include,staged blob snapshot
frontend/.gitignore,A,,268,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/README.md,A,.md,1027,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/.gitignore,A,,1824,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/.gitignore,A,,26,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/build.gradle,A,.gradle,2887,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/capacitor.build.gradle,A,.gradle,463,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/proguard-rules.pro,A,.pro,751,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/androidTest/java/com/getcapacitor/myapp/ExampleInstrumentedTest.java,A,.java,774,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/AndroidManifest.xml,A,.xml,1970,frontend,allowlisted_public,ok,include,staged blob snapshot
frontend/android/app/src/main/java/com/baro/pricebarometer/MainActivity.java,A,.java,127,frontend,allowlisted_public,ok,include,staged blob snapshot
